profile,ear,band,active_prescription,centre_hz,edge_low_hz,edge_high_hz,input_level_db_spl,camfit_gain_db,output_level_db_spl,sigma_graph_input_dbfs,sigma_graph_output_dbfs,sigma_output_after_global_headroom_dbfs,global_headroom_gain_db,within_configured_sigma_graph_range
N1,left,2,True,297.0000,229.2793,385.3570,21.0,0.000000,21.000000,-79.000000,-79.000000,-99.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,22.0,0.000000,22.000000,-78.000000,-78.000000,-98.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,23.0,0.000000,23.000000,-77.000000,-77.000000,-97.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,24.0,0.000000,24.000000,-76.000000,-76.000000,-96.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,25.0,0.000000,25.000000,-75.000000,-75.000000,-95.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,26.0,0.000000,26.000000,-74.000000,-74.000000,-94.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,27.0,0.000000,27.000000,-73.000000,-73.000000,-93.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,28.0,0.000000,28.000000,-72.000000,-72.000000,-92.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,29.0,0.000000,29.000000,-71.000000,-71.000000,-91.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,30.0,0.000000,30.000000,-70.000000,-70.000000,-90.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,31.0,0.000000,31.000000,-69.000000,-69.000000,-89.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,32.0,0.000000,32.000000,-68.000000,-68.000000,-88.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,33.0,0.000000,33.000000,-67.000000,-67.000000,-87.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,34.0,0.000000,34.000000,-66.000000,-66.000000,-86.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,35.0,0.000000,35.000000,-65.000000,-65.000000,-85.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,36.0,0.000000,36.000000,-64.000000,-64.000000,-84.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,37.0,0.000000,37.000000,-63.000000,-63.000000,-83.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,38.0,0.000000,38.000000,-62.000000,-62.000000,-82.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,39.0,0.000000,39.000000,-61.000000,-61.000000,-81.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,40.0,0.000000,40.000000,-60.000000,-60.000000,-80.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,41.0,0.000000,41.000000,-59.000000,-59.000000,-79.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,42.0,0.000000,42.000000,-58.000000,-58.000000,-78.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,43.0,0.000000,43.000000,-57.000000,-57.000000,-77.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,44.0,0.000000,44.000000,-56.000000,-56.000000,-76.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,45.0,0.000000,45.000000,-55.000000,-55.000000,-75.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,46.0,0.000000,46.000000,-54.000000,-54.000000,-74.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,47.0,0.000000,47.000000,-53.000000,-53.000000,-73.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,48.0,0.000000,48.000000,-52.000000,-52.000000,-72.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,49.0,0.000000,49.000000,-51.000000,-51.000000,-71.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,50.0,0.000000,50.000000,-50.000000,-50.000000,-70.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,51.0,0.000000,51.000000,-49.000000,-49.000000,-69.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,52.0,0.000000,52.000000,-48.000000,-48.000000,-68.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,53.0,0.000000,53.000000,-47.000000,-47.000000,-67.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,54.0,0.000000,54.000000,-46.000000,-46.000000,-66.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,55.0,0.000000,55.000000,-45.000000,-45.000000,-65.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,56.0,0.000000,56.000000,-44.000000,-44.000000,-64.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,57.0,0.000000,57.000000,-43.000000,-43.000000,-63.000000,-20.000000,True
N1,left,2,True,297.0000,229.2793,385.3570,58.0,0.000000,58.000000,-42.000000,-42.000000,-62.000000,-20.000000,True
