profile,ear,band,active_prescription,point,centre_hz,input_level_db_spl,sigma_graph_input_dbfs,sigma_graph_output_dbfs,camfit_gain_db,sigma_output_after_global_headroom_dbfs,maximum_interpolation_error_db,implementation_note
N3,left,9,False,2,11314.0000,110.0,10.000000,10.000000,0.000000,-10.000000,0.000000000,bypass compressor; global headroom still applies
N3,right,1,True,1,177.0000,10.0,-90.000000,-70.371844,19.628156,-90.371844,0.000000000,enter x/y in compressor graph
N3,right,1,True,2,177.0000,38.0,-62.000000,-42.371844,19.628156,-62.371844,0.000000000,enter x/y in compressor graph
N3,right,1,True,3,177.0000,68.0,-32.000000,-31.387028,0.612972,-51.387028,0.000000000,enter x/y in compressor graph
N3,right,1,True,4,177.0000,69.0,-31.000000,-31.000000,0.000000,-51.000000,0.000000000,enter x/y in compressor graph
N3,right,1,True,5,177.0000,100.0,0.000000,0.000000,0.000000,-20.000000,0.000000000,enter x/y in compressor graph
N3,right,1,True,6,177.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.000000000,enter x/y in compressor graph
N3,right,2,True,1,297.0000,10.0,-90.000000,-73.770504,16.229496,-93.770504,0.000000000,enter x/y in compressor graph
N3,right,2,True,2,297.0000,38.0,-62.000000,-45.770504,16.229496,-65.770504,0.000000000,enter x/y in compressor graph
N3,right,2,True,3,297.0000,75.0,-25.000000,-24.810202,0.189798,-44.810202,0.000000000,enter x/y in compressor graph
N3,right,2,True,4,297.0000,76.0,-24.000000,-24.000000,0.000000,-44.000000,0.000000000,enter x/y in compressor graph
N3,right,2,True,5,297.0000,100.0,0.000000,0.000000,0.000000,-20.000000,0.000000000,enter x/y in compressor graph
N3,right,2,True,6,297.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.000000000,enter x/y in compressor graph
N3,right,3,True,1,500.0000,10.0,-90.000000,-75.881017,14.118983,-95.881017,0.000000000,enter x/y in compressor graph
N3,right,3,True,2,500.0000,36.0,-64.000000,-49.881017,14.118983,-69.881017,0.000000000,enter x/y in compressor graph
N3,right,3,True,3,500.0000,99.0,-1.000000,-0.686315,0.313685,-20.686315,0.000000000,enter x/y in compressor graph
N3,right,3,True,4,500.0000,100.0,0.000000,0.000000,0.000000,-20.000000,0.000000000,enter x/y in compressor graph
N3,right,3,True,5,500.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.000000000,enter x/y in compressor graph
N3,right,4,True,1,841.0000,10.0,-90.000000,-72.191133,17.808867,-92.191133,0.000000000,enter x/y in compressor graph
N3,right,4,True,2,841.0000,37.0,-63.000000,-45.191133,17.808867,-65.191133,0.000000000,enter x/y in compressor graph
N3,right,4,True,3,841.0000,93.0,-7.000000,-0.225895,6.774105,-20.225895,0.000000000,enter x/y in compressor graph
